pair_id,source,destination,euclid_m,algorithm,heuristic,gender,social,age,vehicle,time_bucket,weather,success,nodes_expanded,nodes_generated,revisits,max_frontier_size,path_length_edges,path_length_meters,path_cost,depth,effective_branching_factor,predicted_cost_at_start,predicted_vs_actual_gap,runtime_seconds
2,3305890231,2442677670,3251.3304571861167,dfs,n/a,male,accompanied,child,walk,midday,clear,True,2397,3180,3177,784,1179,99959.92727194636,3067240.66389662,1179,1.0447354128499333,0.0,0.0,0.007723101000010502
2,3305890231,2442677670,3251.3304571861167,ucs,n/a,male,accompanied,child,walk,midday,clear,True,4737,5446,592,133,89,4507.621382469818,148817.06555295162,89,1.0659430603261362,0.0,0.0,0.030847428999550175
2,3305890231,2442677670,3251.3304571861167,greedy,zero,male,accompanied,child,walk,midday,clear,True,3598,3770,5532,184,57,4998.320633309765,199916.12077782306,57,1.1083895636218202,0.0,199916.12077782306,0.006412412003555801
2,3305890231,2442677670,3251.3304571861167,greedy,haversine_admissible,male,accompanied,child,walk,midday,clear,True,237,328,369,92,93,5671.326493961529,207955.19254362557,93,1.0176666488528274,6221.8778295173815,201733.3147141082,0.0011755130035453476
2,3305890231,2442677670,3251.3304571861167,greedy,network_relaxed,male,accompanied,child,walk,midday,clear,True,62,124,66,63,61,4503.250464436979,175766.58418805493,61,1.0000001997900971,7785.273556632117,167981.31063142282,0.0003399859997443855
2,3305890231,2442677670,3251.3304571861167,greedy,haversine_time,male,accompanied,child,walk,midday,clear,True,237,328,369,92,93,5671.326493961529,207955.19254362557,93,1.0176666488528274,4681.915858348008,203273.27668527755,0.001066685996192973
2,3305890231,2442677670,3251.3304571861167,greedy,context_aware,male,accompanied,child,walk,midday,clear,True,237,328,369,92,93,5671.326493961529,207955.19254362557,93,1.0176666488528274,6221.8778295173815,201733.3147141082,0.0009675679975771345
2,3305890231,2442677670,3251.3304571861167,greedy,learned_history,male,accompanied,child,walk,midday,clear,True,230,321,364,92,89,5622.817703500728,195970.59266615444,89,1.0187097514570762,8703.127535125808,187267.4651310286,0.0015083860052982345
2,3305890231,2442677670,3251.3304571861167,astar,zero,male,accompanied,child,walk,midday,clear,True,4737,5446,592,133,89,4507.621382469818,148817.06555295162,89,1.0659430603261362,0.0,148817.06555295162,0.033025226002791896
2,3305890231,2442677670,3251.3304571861167,astar,haversine_admissible,male,accompanied,child,walk,midday,clear,True,4347,5016,538,133,89,4507.621382469818,148817.06555295162,89,1.0647060791139455,6221.8778295173815,142595.18772343424,0.04279058700194582
2,3305890231,2442677670,3251.3304571861167,astar,network_relaxed,male,accompanied,child,walk,midday,clear,True,4285,4936,529,124,89,4507.621382469818,148817.06555295162,89,1.0644989733019439,7785.273556632117,141031.79199631952,0.03199071999551961
2,3305890231,2442677670,3251.3304571861167,astar,haversine_time,male,accompanied,child,walk,midday,clear,True,4445,5126,549,140,89,4507.621382469818,148817.06555295162,89,1.0650273270313817,4681.915858348008,144135.1496946036,0.04430118700111052
2,3305890231,2442677670,3251.3304571861167,astar,context_aware,male,accompanied,child,walk,midday,clear,True,4347,5016,538,133,89,4507.621382469818,148817.06555295162,89,1.0647060791139455,6221.8778295173815,142595.18772343424,0.04297778200270841
2,3305890231,2442677670,3251.3304571861167,astar,learned_history,male,accompanied,child,walk,midday,clear,True,4210,4846,516,121,89,4507.621382469818,148817.06555295162,89,1.0642442852837444,8703.127535125808,140113.93801782583,0.04791923899756512
2,3305890231,2442677670,3251.3304571861167,weighted_astar,zero,male,accompanied,child,walk,midday,clear,True,4737,5446,592,133,89,4507.621382469818,148817.06555295162,89,1.0659430603261362,0.0,148817.06555295162,0.033673758000077214
2,3305890231,2442677670,3251.3304571861167,weighted_astar,haversine_admissible,male,accompanied,child,walk,midday,clear,True,4086,4704,509,115,89,4507.621382469818,148817.06555295162,89,1.0638127886362616,6221.8778295173815,142595.18772343424,0.0408320759961498
2,3305890231,2442677670,3251.3304571861167,weighted_astar,network_relaxed,male,accompanied,child,walk,midday,clear,True,3965,4561,491,106,89,4507.621382469818,148817.06555295162,89,1.0633785433105116,7785.273556632117,141031.79199631952,0.0285341549970326
2,3305890231,2442677670,3251.3304571861167,weighted_astar,haversine_time,male,accompanied,child,walk,midday,clear,True,4226,4866,518,124,89,4507.621382469818,148817.06555295162,89,1.064299008054478,4681.915858348008,144135.1496946036,0.04198706099850824
2,3305890231,2442677670,3251.3304571861167,weighted_astar,context_aware,male,accompanied,child,walk,midday,clear,True,4086,4704,509,115,89,4507.621382469818,148817.06555295162,89,1.0638127886362616,6221.8778295173815,142595.18772343424,0.039220204002049286
2,3305890231,2442677670,3251.3304571861167,weighted_astar,learned_history,male,accompanied,child,walk,midday,clear,True,3872,4450,485,95,89,4507.621382469818,148817.06555295162,89,1.063035410581423,8703.127535125808,140113.93801782583,0.048014780004450586
